"";"Date";"Value"
"1";2015-02-20;"364,6"
"2";2015-02-13;"368,3"
"3";2015-02-06;"374,7"
"4";2015-01-30;"376,3"
"5";2015-01-23;"378,1"
"6";2015-01-16;"379,4"
"7";2015-01-09;"386,2"
"8";2015-01-02;"386,2"
"9";2014-12-26;"388,5"
"10";2014-12-19;"398,9"
"11";2014-12-12;"414,6"
"12";2014-12-05;"416,2"
"13";2014-11-28;"420,5"
"14";2014-11-21;"420,4"
"15";2014-11-14;"420,6"
"16";2014-11-07;"421,4"
"17";2014-10-31;"428,6"
"18";2014-10-24;"439,1"
"19";2014-10-17;"443,8"
"20";2014-10-10;"451,7"
"21";2014-10-03;"454,7"
"22";2014-09-26;"456,8"
"23";2014-09-19;"458,3"
"24";2014-09-12;"459,9"
"25";2014-09-05;"464,2"
"26";2014-08-29;"465,8"
"27";2014-08-22;"466,1"
"28";2014-08-15;"468,6"
"29";2014-08-08;"468,6"
"30";2014-08-01;"468,4"
"31";2014-07-25;"472,4"
"32";2014-07-18;"472,5"
"33";2014-07-11;"476,7"
"34";2014-07-04;"474,3"
"35";2014-06-27;"475,8"
"36";2014-06-20;"471,1"
"37";2014-06-13;"468,7"
"38";2014-06-06;"469,9"
"39";2014-05-30;"466,9"
"40";2014-05-23;"468,4"
"41";2014-05-16;"466,8"
"42";2014-05-09;"471,1"
"43";2014-05-02;"471,6"
"44";2014-04-25;"482,7"
"45";2014-04-18;"482,0"
"46";2014-04-11;"477,7"
"47";2014-04-04;"473,9"
"48";2014-03-28;"484,0"
"49";2014-03-21;"486,6"
"50";2014-03-14;"493,2"
"51";2014-03-07;"494,6"
"52";2014-02-28;"493,3"
"53";2014-02-21;"493,4"
"54";2014-02-14;"492,5"
"55";2014-02-07;"490,2"
"56";2014-01-31;"498,9"
"57";2014-01-24;"496,7"
"58";2014-01-17;"498,8"
"59";2014-01-10;"499,1"
"60";2014-01-03;"510,5"
"61";2013-12-27;"511,6"
"62";2013-12-20;"508,5"
"63";2013-12-13;"512,7"
"64";2013-12-06;"511,2"
"65";2013-11-29;"514,9"
"66";2013-11-22;"505,9"
"67";2013-11-15;"507,7"
"68";2013-11-08;"510,8"
"69";2013-11-01;"513,9"
"70";2013-10-25;"517,0"
"71";2013-10-18;"511,1"
"72";2013-10-11;"509,8"
"73";2013-10-04;"512,7"
"74";2013-09-27;"514,9"
"75";2013-09-20;"515,9"
"76";2013-09-13;"504,0"
"77";2013-09-06;"503,9"
"78";2013-08-30;"510,8"
"79";2013-08-23;"508,1"
"80";2013-08-16;"507,7"
"81";2013-08-09;"507,8"
"82";2013-08-02;"507,9"
"83";2013-07-26;"509,4"
"84";2013-07-19;"505,7"
"85";2013-07-12;"506,0"
"86";2013-07-05;"505,0"
"87";2013-06-28;"514,5"
"88";2013-06-21;"514,1"
"89";2013-06-14;"519,4"
"90";2013-06-07;"515,8"
"91";2013-05-31;"518,4"
"92";2013-05-24;"513,7"
"93";2013-05-17;"512,4"
"94";2013-05-10;"520,4"
"95";2013-05-03;"533,5"
"96";2013-04-26;"524,3"
"97";2013-04-19;"515,2"
"98";2013-04-12;"521,3"
"99";2013-04-05;"516,9"
"100";2013-03-29;"527,6"
"101";2013-03-22;"522,4"
"102";2013-03-15;"520,0"
"103";2013-03-08;"522,1"
"104";2013-03-01;"523,4"
"105";2013-02-22;"524,0"
"106";2013-02-15;"529,5"
"107";2013-02-08;"532,5"
"108";2013-02-01;"533,5"
"109";2013-01-25;"530,7"
"110";2013-01-18;"530,4"
"111";2013-01-11;"526,4"
"112";2013-01-04;"537,4"
"113";2012-12-28;"537,1"
"114";2012-12-21;"532,0"
"115";2012-12-14;"528,8"
"116";2012-12-07;"527,3"
"117";2012-11-30;"528,2"
"118";2012-11-23;"524,3"
"119";2012-11-16;"522,2"
"120";2012-11-09;"522,7"
"121";2012-11-02;"526,4"
"122";2012-10-26;"526,5"
"123";2012-10-19;"529,4"
"124";2012-10-12;"526,0"
"125";2012-10-05;"528,0"
"126";2012-09-28;"528,2"
"127";2012-09-21;"524,5"
"128";2012-09-14;"522,8"
"129";2012-09-07;"517,2"
"130";2012-08-31;"514,6"
"131";2012-08-24;"514,8"
"132";2012-08-17;"507,9"
"133";2012-08-10;"510,0"
"134";2012-08-03;"507,4"
"135";2012-07-27;"505,5"
"136";2012-07-20;"507,7"
"137";2012-07-13;"505,3"
"138";2012-07-06;"511,4"
"139";2012-06-29;"512,9"
"140";2012-06-22;"513,1"
"141";2012-06-15;"512,2"
"142";2012-06-08;"512,4"
"143";2012-06-01;"509,2"
"144";2012-05-25;"513,2"
"145";2012-05-18;"514,3"
"146";2012-05-11;"518,8"
"147";2012-05-04;"522,9"
"148";2012-04-27;"523,3"
"149";2012-04-20;"519,5"
"150";2012-04-13;"518,8"
"151";2012-04-06;"516,7"
"152";2012-03-30;"512,6"
"153";2012-03-23;"510,8"
"154";2012-03-16;"505,4"
"155";2012-03-09;"507,7"
"156";2012-03-02;"511,6"
"157";2012-02-24;"509,6"
"158";2012-02-17;"504,4"
"159";2012-02-10;"509,1"
"160";2012-02-03;"507,3"
"161";2012-01-27;"504,0"
"162";2012-01-20;"499,7"
"163";2012-01-13;"497,1"
"164";2012-01-06;"498,0"
"165";2011-12-30;"497,4"
"166";2011-12-23;"503,0"
"167";2011-12-16;"501,3"
"168";2011-12-09;"513,0"
"169";2011-12-02;"514,1"
"170";2011-11-25;"510,2"
"171";2011-11-18;"515,1"
"172";2011-11-11;"516,0"
"173";2011-11-04;"517,8"
"174";2011-10-28;"522,0"
"175";2011-10-21;"514,6"
"176";2011-10-14;"517,7"
"177";2011-10-07;"510,4"
"178";2011-09-30;"516,8"
"179";2011-09-23;"526,0"
"180";2011-09-16;"532,0"
"181";2011-09-09;"538,8"
